place,x1,y1,x2,y2,x3,y3,x4,y4
"(1,1)",1352,912,1398,1080,1580,1064,1526,906
"(1,2)",1158,920,1188,1072,1368,1068,1326,906
"(1,3)",944,930,954,1086,1138,1084,1118,922
"(1,4)",746,932,746,1098,926,1094,920,928
"(1,5)",540,948,524,1106,696,1104,700,938
"(1,6)",348,954,324,1110,496,1112,520,950
"(1,7)",156,958,116,1112,278,1114,314,954
"(2,1)",1314,746,1352,880,1516,870,1474,738
"(2,2)",1124,756,1152,894,1322,890,1282,746
"(2,3)",932,766,952,900,1114,886,1092,756
"(2,4)",754,774,746,904,912,908,906,768
"(2,5)",560,780,544,912,712,912,722,770
"(2,6)",374,790,350,930,520,926,534,790
"(2,7)",202,796,160,932,324,934,352,792
"(3,1)",1272,602,1304,720,1458,710,1422,594
"(3,2)",1098,604,1112,722,1276,720,1246,598
"(3,3)",920,616,928,734,1092,728,1074,608
"(3,4)",754,624,748,742,906,738,898,618
"(3,5)",584,634,568,752,724,750,728,626
"(3,6)",412,644,386,758,538,758,554,638
"(3,7)",246,652,212,764,350,766,382,642
"(4,1)",1244,478,1268,574,1414,574,1380,472
"(4,2)",1080,488,1096,582,1246,578,1218,474
"(4,3)",910,494,920,592,1062,588,1048,486
"(4,4)",758,504,756,596,906,596,894,494
"(4,5)",598,510,590,608,732,604,734,502
"(4,6)",436,526,410,624,550,620,566,516
"(4,7)",280,528,252,628,382,626,414,522
"(5,1)",1210,366,1236,458,1370,450,1340,366
"(5,2)",1060,382,1074,464,1210,460,1186,370
"(5,3)",906,386,912,470,1054,470,1038,378
"(5,4)",758,392,756,480,886,472,886,384
"(5,5)",608,404,596,486,736,484,736,394
"(5,6)",462,414,440,500,574,492,590,406
"(5,7)",312,424,288,506,418,502,440,412
"(6,1)",1188,272,1210,346,1332,338,1310,266
"(6,2)",1044,280,1058,358,1180,354,1162,272
"(6,3)",908,288,914,366,1040,362,1026,284
"(6,4)",758,296,758,374,886,370,880,288
"(6,5)",620,310,612,386,740,378,738,304
"(6,6)",486,312,466,390,596,382,600,310
"(6,7)",344,326,322,400,438,394,458,314
"(7,1)",1166,192,1184,260,1302,254,1280,188
"(7,2)",1032,206,1040,272,1158,264,1146,198
"(7,3)",898,208,906,276,1026,270,1008,204
"(7,4)",768,214,762,284,882,276,876,212
"(7,5)",628,226,622,292,742,288,738,222
"(7,6)",504,228,486,300,606,298,614,224
"(7,7)",374,234,350,308,466,304,484,232
